"module_id","module_name","submodule","design_requirement","current_status","current_chain","evidence_type","evidence_path","evidence_summary","legacy_artifact_available","entity_complete_v1_artifact_available","test_available","report_available","implemented_scope","missing_scope","semantic_risk","recommended_action","priority"
"M4","Detector catalog","purchase_interval_overdue_warning","IPI / interval overdue evidence","partially_implemented","both","report","algo_main/reports/entity_complete_v1/04_m_stage_pipeline/m4_detector_evidence_metrics.csv","current interval_overdue_detector_hit has 288,304 hits; legacy v2 has row-level detector and p-value readiness","true","partial","true","true","aggregate current signal exists","no current row-level detector schema/p-value","medium","implement_next","P1"
"M4","Detector catalog","purchase_frequency_fluctuation_warning","frequency fluctuation evidence","partially_implemented","both","report","algo_main/reports/entity_complete_v1/04_m_stage_pipeline/m4_detector_evidence_metrics.csv","current frequency_drop_detector_hit has 552,406 hits; legacy v1 has row-level detector","true","partial","true","true","aggregate current signal exists","no current row-level detector schema","medium","implement_next","P1"
"M4","Detector catalog","purchase_frequency_decay_rate_test","statistical frequency decay test","implemented_legacy_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detectors_v2/detector_v2_summary.md","legacy v2 hit count 86 and p_value_available_count 1,354","true","false","true","true","legacy p-value detector","not rerun current","medium","rerun_on_entity_complete","P2"
"M4","Detector catalog","purchase_quantity_fluctuation_warning","quantity spike/drop detector","implemented_legacy_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detectors_v1/detector_v1_summary.md","legacy hit count 811","true","false","true","true","legacy quantity detector","current not rerun","medium","rerun_on_entity_complete","P2"
"M4","Detector catalog","purchase_quantity_trend_warning","quantity trend detector","intentionally_deferred","none","report","algo_main/reports/alive_prediction_detector_completion_design_v1/detector_completion_summary.md","design_first; numeric reliability guardrail required","false","false","true","true","none","trend detector design missing","medium","defer","P2"
"M4","Detector catalog","purchase_amount_trend_warning","amount trend detector","interface_only","none","report","algo_main/reports/alive_prediction_detector_completion_design_v1/detector_completion_summary.md","interface_only due sensitive relative amount semantics","false","false","true","true","interface/design only","not implemented","high","defer","P3"
"M4","Detector catalog","sku_narrowing_warning","SKU narrowing detector","intentionally_deferred","none","report","algo_main/reports/alive_prediction_detector_completion_design_v1/detector_completion_summary.md","design_first; needs product-line or portfolio mapping","false","false","true","true","none","product-line mapping missing","medium","defer","P3"
"M4","Detector catalog","wallet_share_decline_warning","wallet share decline detector","intentionally_deferred","none","report","algo_main/reports/alive_prediction_detector_completion_design_v1/detector_completion_summary.md","design_first; choice-set is partial platform context only","false","false","true","true","none","complete market share unavailable","high","defer","P3"
"M4","Detector catalog","low_price_purchase_warning","low price warning","interface_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detectors_v1/detector_v1_summary.md","legacy interface-only; reliable comparable price not available","true","false","true","true","interface rows only","no valid price evidence","high","defer","P3"
"M4","Detector catalog","order_price_spread_warning","price spread warning","interface_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detectors_v1/detector_v1_summary.md","legacy interface-only; purchase price comparability unconfirmed","true","false","true","true","interface rows only","no comparable unit price mapping","high","defer","P3"
"M4","Detector catalog","rejection_response_warning","delivery rejection warning","interface_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detectors_v1/detector_v1_summary.md","legacy interface-only; delivery response detector not evaluable","true","false","true","true","interface rows only","delivery status/time reliability not enough","medium","defer","P3"
"M4","Detector catalog","delayed_response_warning","delayed delivery warning","intentionally_deferred","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detector_completion_design_v1/detector_completion_summary.md","skip_current_stage by user/design decision","true","false","true","true","none","delivery_time/arrival_time missingness too high","medium","defer","P3"
"M4","Detector catalog","low_delivery_rate_warning","low delivery rate warning","intentionally_deferred","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detector_completion_design_v1/detector_completion_summary.md","skip_current_stage by user/design decision","true","false","true","true","interface/skipped only","quantity-based weak version not enabled","medium","defer","P3"
"M5","状态决策","candidate_status_decision","produce final_candidate_status, review_priority, evidence_strength, auto_dispatch=false","partially_implemented","both","report","algo_main/reports/entity_complete_v1/04_m_stage_pipeline/m5_status_distribution.csv","current has status distribution only; legacy has full candidate_status_decision.csv","true","partial","true","true","current status rows and auto_dispatch false","current lacks full decision table and review_priority/evidence_strength rows","medium","rerun_on_entity_complete","P1"
"M6","Evidence cache/timeline","cache and timeline","evidence_id/hash, previous_evidence_id, persistence_count, trend_status","interface_only","both","design_doc","daily_work/notes/new_ver/主干算法_二阶段/M6 Detector evidence cache，evidence timeline.md","design explicitly says current stage only reserves interface and does not implement cache/timeline","true","false","true","true","legacy/current reserve timeline fields in some outputs","no cache read/write, no trend timeline","low","defer","P3"
"M7","Structured evidence bundle","current sample bundle","structured evidence material with allowed/forbidden claims, no LLM","partially_implemented","both","data_artifact","algo_main/data/entity_complete_v1/08_evidence/m7_evidence_bundle_sample.csv","current sample 500 rows with allowed_claims/forbidden_claims; legacy full bundle 3,246 rows","true","partial","true","true","sample bundle and semantic fields exist","current lacks full candidate_type/status/detector/timeline bundle","medium","rerun_on_entity_complete","P1"
"M7","Structured evidence bundle","LLM line card","generate final line cards or call LLM","not_implemented","none","report","algo_main/reports/alive_prediction_static_line_card_review_v1/static_line_card_review_summary.md","legacy static samples only; LLM not called and final line cards not generated","true","false","true","true","static sample review only","LLM line-card service not implemented","medium","defer","P3"
"M8","回测评估验收","Stage 1 scorer metrics","AUC, PR-AUC, ECE, Brier, LogLoss, TopK","implemented_current","entity_complete_v1","report","algo_main/reports/entity_complete_v1/03_model_selection/model_metric_summary.csv","xgboost_small AUC 0.8212, PR-AUC gain 0.3315, ECE 0.0228","true","true","true","true","full-universe scorer metrics complete","not customer proof-case","low","keep","P0"
"M8","回测评估验收","M-stage backtest","candidate-level/full-universe M1-M7 protocol","partially_implemented","both","report","algo_main/reports/entity_complete_v1/05_backtest/m8_backtest_summary.csv","current has full_universe and candidate_probability_top10 rows; legacy has candidate utility backtest","true","true","true","true","basic current backtest exists","M2/M3/M4/M5/M7 detailed current validation missing","medium","implement_next","P1"
"M8","回测评估验收","real customer proof-case","5-10 customer-confirmed loss terminals proof-case","not_implemented","none","report","algo_main/reports/alive_prediction_candidate_utility_backtest_v2/proof_case_disclaimer.md","legacy proof cases are proxy-label/disclaimer, not customer-confirmed proof-case","true","false","false","true","proxy proof-case sample only","customer-confirmed cases absent","high","clarify_with_business","P0"

